NASLOVI FILMOV;OCENA;LETNICA NASTANKA;ZANR;STEVILO NOMINACIJ;STEVILO NAGRAD;KRAJ;crime;drama;biography;history;sport;romance;war;mystery;adventure;family;fantasy;horror;thriller;film-noir;musical;action;sci-fi;comedy;music;western;BUDGET;BOX OFFICE
Raiders of the Lost Ark;8,6;1981;action/adventure;15;5;England;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;18000000;389900000
Rocky;8,1;1976;drama/sport;21;4;United States;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;960000;117235247
A Streetcar Named Desire;8,1;1951;drama;17;6;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800000;8000000
The Philadelphia Story;8,1;1940;comedy/romance;6;2;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;914000;3259000
To Kill a Mockingbird;8,4;1962;drama;15;6;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000000;13100000
An American in Paris;7,3;1951;musical/romance;12;7;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2724000;6981000
The Best Years of Our Lives;8,2;1946;drama/romance/war;10;9;United States;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2100000;23650000
My Fair Lady;7,9;1964;drama/family/musical;19;12;United States;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;17000000;72000000
Ben-Hur;8,1;1959;adventure/drama;17;15;Italy;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15200000;146900000
Doctor Zhivago;8;1965;drama/romance/war;19;10;Canada;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11000000;111721910
Patton;8,1;1970;biography/drama/war;15;8;Spain;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12625000;61749765
Jaws;8,1;1975;drama/thriller;14;4;United States;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9000000;470700000
Braveheart;8,4;1995;action/biography/drama;19;9;United States;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;72000000;210409945
Il buono, il brutto, il cattivo;9;1966;western;0;0;Spain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1200000;25100000
Butch Cassidy and the Sundance Kid;8,2;1969;biography/crime/western;20;13;United States;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6000000;102300000
The Treasure of the Sierra Madre;8,4;1948;action/adventure/drama;8;6;United States;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3000000;4307000
The Apartment;8,4;1960;comedy/drama/romance;17;11;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3000000;24600000
Platoon;8,2;1986;drama/war;15;9;Philippines;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6000000;138500000
High Noon;8,1;1952;western;14;8;United States;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;730000;12000000
Dances with Wolves;8;1990;adventure/drama/western;27;10;United States;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;22000000;424208848
The Pianist;8,5;2002;biography/drama/war;14;4;Germany;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35000000;120000000
Goodfellas;8,7;1990;biography/crime/drama;18;6;United States;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25000000;46800000
The Exorcist;8;1973;horror;18;6;United States;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12000000;441300000
The Deer Hunter;8,2;1978;drama/war;24;8;United States;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15000000;49000000
All Quiet on the Western Front;8,1;1930;drama/war;4;2;United States;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1500000;3000000
The French Connection;7,8;1971;action/crime/thriller;17;10;France;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1800000;51700000
