NASLOVI FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;action;adventure;sci-fi;fantasy;mystery;comedy;drama;romance;crime;sport;biography;thriller;family;music;war;horror;animation
Mission: Impossible - Ghost Protocol;action/adventure/thriller;145000000;694713380;Canada;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Jane Eyre;drama/romance;0;34710627;England;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
War Horse;drama/war;66000000;177600000;England;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Red Riding Hood;fantasy/horror/mystery;42000000;89162162;Canada;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
My Week with Marilyn;biography/drama;10000000;34556085;England;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
The Grey;adventure/drama/thriller;25000000;77300000;Canada;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Drive Angry;action/crime/fantasy;50000000;28900000;United States;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
50/50;comedy/drama;8000000;39187783;United States;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Transformers: Dark of the Moon;action/adventure/sci-fi;195000000;1123794079;United States;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
We Bought a Zoo;comedy/drama/family;50000000;120100000;United States;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
The Raid;action/crime/thriller;1100000;9100000;Indonesia;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
We Need to Talk About Kevin;drama/thriller;7000000;7500000;Spain;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Super 8;mystery/sci-fi/thriller;50000000;260095986;United States;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Melancholia;drama/sci-fi;9400000;15946321;Sweden;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cowboys & Aliens;action/sci-fi/thriller;163000000;174822325;United States;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
The Lincoln Lawyer;crime/drama/thriller;40000000;85500000;United States;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
Scream 4;horror/mystery;40000000;97138686;United States;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
The Artist;comedy/drama/romance;15000000;133400000;United States;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Zookeeper;comedy/family/romance;80000000;169852759;United States;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
Conan the Barbarian;action/adventure/fantasy;90000000;48795021;Bulgaria;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
La piel que habito;thriller;13500000;30842353;Spain;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
The Ides of March;drama;12500000;75993061;United States;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
New Year's Eve;comedy/romance;56000000;142044638;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Contagion;drama/sci-fi/thriller;60000000;135458097;United States;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
You're Next;horror/thriller;1000000;26800000;United States;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
J. Edgar;biography/crime/drama;35000000;84606030;United States;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
Cars 2;animation/adventure/comedy;200000000;559900000;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A Dangerous Method;biography/drama/thriller;15000000;27462041;Austria;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
Bad Teacher;comedy;20000000;216197492;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
The Green Hornet;action/comedy/crime;120000000;227800000;United States;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
The Hangover Part II;comedy;80000000;586800000;Thailand;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Another Earth;drama/romance/sci-fi;100000;1776935;United States;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Water for Elephants;drama/romance;38000000;117094902;United States;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
The Adventures of Tintin;animation/action/adventure;130000000;374000000;New Zealand;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Hall Pass;comedy/romance;36000000;83200000;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Abduction;action/mystery/thriller;35000000;82000000;United States;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Hick;comedy/drama;7000000;0;United States;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Take Me Home Tonight;comedy/drama/romance;23000000;6923891;United States;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Rio;animation/adventure/comedy;90000000;484635760;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
What's Your Number?;comedy/romance;20000000;30426096;United States;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Sleeping Beauty;drama/romance;3000000;0;Australia;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Killer Joe;crime/thriller;11000000;3700000;United States;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Haywire;action/thriller;23000000;33372606;Spain;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Goon;action/comedy/drama;0;6985158;Canada;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Hodejegerne;crime/thriller;4000000;15391296;Norway;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
The Art of Getting By;drama/romance;0;1406224;United States;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Bernie;comedy/crime/drama;5000000;9200000;United States;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
The Mechanic;action/crime/thriller;40000000;76300000;United States;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
The Inbetweeners Movie;comedy;5500000;88025781;England;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Johnny English Reborn;action/adventure/comedy;45000000;160078586;France;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Detachment;drama;0;1481646;United States;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
