NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;biography;comedy;crime;drama;fantasy;horror;animation;adventure;romance;sci-fi;action;history;thriller;mystery;music;war;family;western
The Secret Life of Walter Mitty;adventure/comedy/drama;90000000;188133322;United States;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Don Jon;comedy/drama/romance;3000000;30500000;United States;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Coherence;sci-fi/thriller;0;0;United States;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
The Internship;comedy;58000000;93500000;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Last Days on Mars;horror/sci-fi/thriller;10800000;0;England;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
The Book Thief;drama/war;19000000;76600000;Germany;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Starred Up;drama;0;0;Northern Ireland;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Butler;biography/drama;30000000;176600000;United States;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elysium;action/drama/sci-fi;115000000;286100000;Canada;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Locke;drama;2000000;5000000;England;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enter the Dangerous Mind;thriller;800000000;0;United States;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Last Vegas;comedy;28000000;134402450;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Only Lovers Left Alive;drama/horror/romance;7000000;7600000;United States;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Despicable Me 2;animation/comedy/family;76000000;970800000;United States;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Saving Mr. Banks;biography/comedy/drama;35000000;112500000;United States;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Counselor;crime/drama/thriller;25000000;71000000;England;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gangster Squad;action/crime/drama;60000000;105200000;United States;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Oz the Great and Powerful;adventure/family/fantasy;215000000;493300000;United States;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
Movie 43;comedy;6000000;32438988;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Captain Phillips;biography/drama/thriller;55000000;218800000;Malta;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
The Purge;horror/thriller;3000000;89300000;United States;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Third Person;drama/romance;0;1021398;Italy;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Anchorman 2: The Legend Continues;comedy;50000000;173600000;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pain & Gain;action/comedy/crime;26000000;96200000;United States;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
The Heat;action/comedy/crime;43000000;229900000;United States;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
August: Osage County;drama;25000000;74188937;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Metegol;animation/adventure/family;22000000;25100000;Argentina;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
Safe Haven;drama/romance/thriller;28000000;97594140;United States;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
47 Ronin;action/adventure/fantasy;175000000;151000000;Hungary;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
Out of the Furnace;crime/drama/thriller;22000000;15400000;United States;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
The Lone Ranger;action/adventure/western;215000000;260500000;United States;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
Warm Bodies;comedy/horror/romance;35000000;116900000;Canada;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
All Is Lost;action/adventure/drama;9000000;13600000;Bahamas;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
The Zero Theorem;drama/fantasy/sci-fi;135000000;1200000;Romania;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Escape Plan;action/mystery/thriller;50000000;137000000;United States;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
The Wold's End;action/comedy/sci-fi;20000000;46000000;England;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
The Wolverine;action/adventure/sci-fi;120000000;417000000;Australia;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Homefront;action/crime/drama;22000000;43058898;United States;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
White House Down;action/drama/thriller;150000000;205400000;Canada;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0
The Last Stand;action/crime/thriller;30000000;48000000;United States;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
G. I. Joe: Retaliation;action/adventure/sci-fi;130000000;375740705;United States;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
Labor Day;drama;18000000;19296451;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oldboy;action/drama/mystery;30000000;4700000;United States;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Inside Llewyn Davis;drama/music;11000000;32900000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Nebraska;comedy/drama;12000000;24183912;United States;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Bling Ring;biography/crime/drama;8000000;20045576;United States;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hansel & Gretel: Witch Hunters;action/fantasy/horror;50000000;226300000;Germany;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
Parker;action/crime/thriller;35000000;48500000;United States;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Olympus Has Fallen;action/thriller;70000000;161000000;United States;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Scary Movie 5;comedy;20000000;78378744;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Host;adventure/romance/sci-fi;40000000;63327201;United States;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
