NASLOVI FILMOV;OCENA;LETNICA NASTANKA;ZANR;STEVILO NOMINACIJ;STEVILO NAGRAD;KRAJ
A Place in the Sun;7,9;1951;drama/romance;13;7; Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California
Midnight Cowboy;8;1969;drama;20;10;Holy Name Cemetery, Jersey City, New Jersey
Mr. Smith Goes to Washington;8,3;1939;drama;11;1; Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California
Rain Man;8;1988;drama;15;6;The Dixie Terminal, Fourth and Walnut Streets, Cincinnati, Ohio
Annie Hall;8,2;1977;comedy/drama/romance;16;10; 2nd Avenue, Manhattan, New York City, New York
Out of Africa;7,2;1985;biography/drama/romance;24;13; England, UK
Good Will Hunting;8,2;1997;drama;13;3; Boston, Massachusetts, USA
Terms of Endearment;7,4;1983;comedy/drama;18;9; Lincoln International Airport, Lincoln, Nebraska, USA
Tootsie;7,4;1982;comedy/drama/romance;24;6; Hurley Mountain Inn, Hurley, New York
Fargo;8,2;1996;crime/drama/thriller;17;3; Chanhassen Dinner Theatre, Chanhassen, Minnesota, USA
Giant;7,7;1956;drama/romance;11;1; Arizona, USA
The Grapes of Wrath;8,2;1940;drama;7;2;Los Angeles, California, USA
Shane;7,7;1953;drama/romance/western;8;1; Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California
The Green Mile;8,5;1999;crime/drama/fantasy;5;0; Blowing Rock, North Carolina
Close Encounters of the Third Kind;7,7;1977;drama/sci-fi;20;2;Mobile Civic Center, Civic Center Drive, Mobile, Alabama, USA
Network;8,2;1976;drama;24;9; CFTO-TV Studios, Scarborough, Toronto, Ontario, Canada
Nashville;7,8;1975;drama/music;21;3; Centennial Park, Nashville, Tennessee, USA
The Graduate;8,1;1967;comedy/drama/romance;21;11; North Palm Drive, Beverly Hill, California
American Graffiti;7,5;1973;comedy/drama;10;2; American Zoetrope Studios, San Francisco, California
Pulp Fiction;9;1994;crime/drama/thriller;21;4; 1435 Flower Street, Glendale, California
The African Queen;8;1951;adventure/romance/war;7;1; Isleworth Studios, London Road, Isleworth, Middlesex, England
Stagecoach;7,9;1939;adventure/western;7;2; Santa Clarita, California
Mutiny on the Bounty;7,9;1935;adventure/drama/history;8;1;French Polynesia
The Maltese Falcon;8,2;1941;drama/film-noir/mystery;3;0; Bush Street, San Francisco, California
A Clockwork Orange;8,4;1971;crime/drama/sci-fi;14;0;Pinewood Studios, Iver Heath, Buckinghamshire, England
Taxi Driver;8,4;1976;crime/drama;12;2;Manhattan, New York
Wuthering Heights;7,8;1939;drama/romance;8;1;Janss Conejo Ranch, Thousand Oaks, California
Double Indemnity;8,4;1944;crime/drama/film-noir;7;0; 1825 N. Kingsley Drive, Hollywood, Los Angeles, California
Rebel Without a Cause;7,8;1955;drama;5;0; 7529 Franklin Avenue, Hollywood, Los Angeles, California
Rear Window;8,6;1954;mystery/thriller;5;0; Los Angeles, California
The Third Man;8,4;1949;film-noir/thriller;5;2; 8 Schreyvogelgasse, Vienna, Austria
North by Northwest;8,5;1959;mystery/thriller;3;0;Garces Highway 1/10th mile East from Corcoran Road and Kern National Wildlife Preserve, Kern County, California
Yankee Doodle Dandy;7,8;1942;biography/drama/musical;8;3; New York Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California
