NASLOVI FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;action;adventure;comedy;drama;biography;romance;music;mystery;thriller;animation;fantasy;sci-fi;war;crime;history;sport;musical;family;western;horror
A Most Violent Year;action/crime/drama;20000000;5200000;United States;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Kill the Messenger;biography/crime/drama;5000000;2500000;United States;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Black or White;drama;9000000;18400000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Captain America: The Winter Soldier;action/adventure/sci-fi;170000000;714800000;United States;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Lucy;action/sci-fi/thriller;40000000;458900000;France;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
The Salvation;drama/western;10500000;0;South Africa;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Beyond the Reach;thriller;0;0;United States;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Addicted;drama/thriller;5000000;17400000;United States;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Chef;comedy/drama;0;45900000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cake;drama;7000000;1900000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Fault in Our Stars;drama/romance;12000000;304900000;Netherlands;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Amazing Spider-Man 2;action/adventure/fantasy;200000000;709000000;United States;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Drop;crime/drama;126000000;18700000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Big in Japan;comedy/music;0;0;United States;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Big Game;action/adventure;8500000;0;Germany;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laggies;comedy/romance;0;1800000;United States;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blended;comedy/romance;40000000;126800000;South Africa;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maleficent;action/adventure/family;180000000;758400000;England;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
A Walk Among the Tombstones;crime/drama/mystery;28000000;53200000;United States;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Alexander and the Terrible, Horrible, No Good, Very Bad Day;comedy/family;28000000;100600000;United States;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
X-Men: Days of Future Past;action/adventure/sci-fi;200000000;748100000;Canada;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
If I Stay;drama/music/romance;11000000;78300000;Canada;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
