NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE ($);KRAJ;action;mystery;sci-fi;comedy;romance;drama;thriller;biography;adventure;crime;animation;family;musical;fantasy;horror;history;sport;western;music;war
Get Him to the Greek;comedy/music;40000000;91300000;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
The Other Guys;action/comedy/crime;100000000;170400000;United States;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Biutiful;drama;0;25147796;Spain;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dear John;drama/romance/war;25000000;114977104;United States;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
The Losers;action/crime/drama;25000000;29379723;Puerto Rico;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
The Twilight Saga: Eclipse;adventure/drama/fantasy;68000000;69849147;Canada;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
The Bounty Hunter;action/comedy/romance;40000000;136333522;United States;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Life as We Know It;comedy/drama/romance;38000000;105648706;United States;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Chronicles of Narnia: The Voyage of the Dawn Treader;adventure/family/fantasy;155000000;415600000;Australia;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
Sex and the City 2;comedy/drama/romance;100000000;305153249;Morocco;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Next Three Days;crime/drama/romance;35000000;67448651;Colombia;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Winter's Bone;drama;2000000;13831503;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Srpski film;horror/mystery/thriller;0;0;Serbia;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Predators;action/adventure/sci-fi;40000000;127200000;United States;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Letters to Juliet;comedy/drama/romance;30000000;79181750;Italy;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
